,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Year,Month,prone_to_calamity,price
52161,for_sale,4,1,0.11,Enfield,Connecticut,6082,1260,10/30/2015,2015,October,0,199900
52162,for_sale,4,2,0.59,Hadley,Massachusetts,1035,2394,6/8/2018,2018,June,0,439500
52163,for_sale,3,3,0.79,Ellington,Connecticut,6029,2081,8/2/1991,1991,August,0,340000
52164,for_sale,3,1,0.21,West Springfield,Massachusetts,1089,1588,3/31/2006,2006,March,1,324900
52166,for_sale,4,2,0.49,Amherst,Massachusetts,1002,1814,6/30/1997,1997,June,0,415000
52169,for_sale,3,2,0.16,Amherst,Massachusetts,1002,1280,8/19/2021,2021,August,0,275000
52170,for_sale,4,3,0.22,Springfield,Massachusetts,1118,2734,1/28/2013,2013,January,1,435000
52174,for_sale,4,2,0.18,Springfield,Massachusetts,1119,1596,9/16/2005,2005,September,1,279900
52176,for_sale,4,4,0.91,South Hadley,Massachusetts,1075,2420,10/9/2012,2012,October,0,547500
52178,for_sale,3,1,0.29,Enfield,Connecticut,6082,1008,3/11/2003,2003,March,0,239900
52179,for_sale,3,1,0.32,Vernon,Connecticut,6066,1132,8/22/2003,2003,August,0,199900
52186,for_sale,7,3,0.11,Springfield,Massachusetts,1109,3035,8/20/1978,1978,August,1,70000
52188,for_sale,4,4,5.29,Wilbraham,Massachusetts,1095,5042,6/18/2009,2009,June,0,465000
52190,for_sale,1,1,1.63,Wilbraham,Massachusetts,1095,996,11/4/1996,1996,November,0,199000
52191,for_sale,2,1,0.11,Springfield,Massachusetts,1119,744,2/25/1999,1999,February,1,130000
52193,for_sale,4,3,2.2,Somers,Connecticut,6071,4223,3/19/1998,1998,March,0,699900
52195,for_sale,5,6,8,Monson,Massachusetts,1057,6900,7/24/2017,2017,July,0,999900
52199,for_sale,3,1,0.15,Chicopee,Massachusetts,1020,1170,1/3/2008,2008,January,1,219000
52200,for_sale,4,4,4.19,Stafford,Connecticut,6076,2166,10/23/2003,2003,October,0,285000
52203,for_sale,3,3,0.43,Vernon,Connecticut,6066,1471,5/26/2016,2016,May,0,279900
52205,for_sale,2,2,0.34,Tolland,Connecticut,6084,960,4/30/2009,2009,April,0,224500
52207,for_sale,3,2,0.27,Chicopee,Massachusetts,1013,1265,10/18/2000,2000,October,1,259900
52210,for_sale,3,2,0.18,Enfield,Connecticut,6082,1170,3/10/1995,1995,March,0,229900
52211,for_sale,3,1,0.34,Easthampton,Massachusetts,1027,1248,1/6/2012,2012,January,1,350000
52212,for_sale,3,2,0.2,Amherst,Massachusetts,1002,1349,9/2/2005,2005,September,0,439900
52230,for_sale,2,1,1.09,Stafford,Connecticut,6076,1106,7/29/2010,2010,July,0,200000
52231,for_sale,3,2,0.2,Chicopee,Massachusetts,1020,1584,9/18/2020,2020,September,1,299900
52232,for_sale,4,2,0.96,Stafford,Connecticut,6076,1426,8/6/2020,2020,August,0,229900
52233,for_sale,3,3,1.04,Tolland,Connecticut,6084,1924,6/10/2002,2002,June,0,312000
52235,for_sale,6,3,0.31,Holyoke,Massachusetts,1040,2408,12/14/2007,2007,December,1,365000
52236,for_sale,4,3,0.13,Springfield,Massachusetts,1109,1625,11/14/2005,2005,November,1,235000
52240,for_sale,3,2,0.3,Enfield,Connecticut,6082,1168,3/16/2017,2017,March,0,234900
52244,for_sale,3,2,0.46,Agawam,Massachusetts,1001,1476,11/20/1986,1986,November,1,384900
52247,for_sale,5,3,0.12,Springfield,Massachusetts,1119,1782,9/28/2010,2010,September,1,279900
52250,for_sale,2,2,1,Westfield,Massachusetts,1085,1341,1/5/2022,2022,January,0,237900
52251,for_sale,3,3,0.39,Enfield,Connecticut,6082,1234,4/22/2020,2020,April,0,339900
52252,for_sale,3,2,0.11,Springfield,Massachusetts,1108,1542,10/10/2003,2003,October,1,269900
52253,for_sale,2,1,0.26,Enfield,Connecticut,6082,1078,8/28/2014,2014,August,0,249900
52255,for_sale,3,1,0.28,Agawam,Massachusetts,1030,1260,9/15/2006,2006,September,1,300000
52259,for_sale,5,4,0.48,Longmeadow,Massachusetts,1106,3657,4/22/2002,2002,April,0,825000
52263,for_sale,4,4,0.72,Suffield,Connecticut,6078,2736,1/20/1988,1988,January,0,629900
52266,for_sale,4,2,0.16,Chicopee,Massachusetts,1020,1280,9/11/2020,2020,September,1,375000
52267,for_sale,3,2,0.18,Springfield,Massachusetts,1118,1392,4/7/2006,2006,April,1,299000
52270,for_sale,3,1,1.43,East Windsor,Connecticut,6016,1351,6/5/2009,2009,June,0,239900
52282,for_sale,3,2,1.45,Coventry,Connecticut,6238,1414,10/31/2002,2002,October,0,294900
52284,for_sale,3,2,0.23,East Longmeadow,Massachusetts,1028,1259,5/10/2019,2019,May,0,249900
52286,for_sale,3,2,0.64,Wilbraham,Massachusetts,1095,1826,7/2/2007,2007,July,0,350000
52287,for_sale,2,1,0.31,Vernon,Connecticut,6066,1780,3/16/2005,2005,March,0,294900
52288,for_sale,5,2,0.6,Westfield,Massachusetts,1085,2700,7/16/2007,2007,July,0,375000
52289,for_sale,3,1,0.41,Springfield,Massachusetts,1118,1100,6/30/2000,2000,June,1,250000
52290,for_sale,3,1,0.22,Springfield,Massachusetts,1129,1040,5/24/2005,2005,May,1,249900
52291,for_sale,5,2,0.23,Enfield,Connecticut,6082,1918,8/31/2012,2012,August,0,275000
52292,for_sale,5,2,0.13,Springfield,Massachusetts,1108,2652,4/12/2013,2013,April,1,285000
52294,for_sale,4,3,1.14,Tolland,Connecticut,6084,2290,11/1/1996,1996,November,0,449900
52295,for_sale,4,3,1.58,Tolland,Connecticut,6084,2724,5/28/2015,2015,May,0,499900
52297,for_sale,2,1,0.19,Springfield,Massachusetts,1118,1024,2/26/2016,2016,February,1,239000
52299,for_sale,4,4,0.96,Ellington,Connecticut,6029,3127,11/14/2016,2016,November,0,695000
52300,for_sale,3,2,0.23,Coventry,Connecticut,6238,1748,4/14/2010,2010,April,0,299900
52301,for_sale,3,2,0.4,South Windsor,Connecticut,6074,1860,7/24/2007,2007,July,0,389000
52302,for_sale,4,2,1.38,Tolland,Connecticut,6084,2042,5/31/2000,2000,May,0,399000
52303,for_sale,4,3,1.1,Wilbraham,Massachusetts,1095,2628,6/22/2007,2007,June,0,569000
52304,for_sale,3,1,0.65,West Springfield,Massachusetts,1089,1424,6/28/2004,2004,June,1,299000
52308,for_sale,3,3,0.69,Longmeadow,Massachusetts,1106,3704,10/8/1997,1997,October,0,674900
52309,for_sale,4,1,0.23,Ludlow,Massachusetts,1056,1740,10/31/2005,2005,October,0,324900
52314,for_sale,4,4,0.69,Longmeadow,Massachusetts,1106,3562,5/27/1993,1993,May,0,649900
52317,for_sale,3,4,3.04,Amherst,Massachusetts,1002,2074,6/21/2006,2006,June,0,975000
52319,for_sale,3,3,2.9,Monson,Massachusetts,1057,2700,10/20/2008,2008,October,0,799900
52322,for_sale,3,2,3.02,Tolland,Connecticut,6084,1735,1/18/1994,1994,January,0,279900
52324,for_sale,6,2,0.62,Russell,Massachusetts,1071,2520,8/12/2016,2016,August,0,250000
52327,for_sale,3,3,1.07,Suffield,Connecticut,6078,1630,3/31/2021,2021,March,0,419900
52328,for_sale,2,2,0.29,Enfield,Connecticut,6082,1056,10/10/2012,2012,October,0,199900
52329,for_sale,6,2,0.14,Enfield,Connecticut,6082,2676,10/31/2003,2003,October,0,166259
52330,for_sale,3,2,0.11,Ludlow,Massachusetts,1056,2240,10/3/2000,2000,October,0,299500
52331,for_sale,4,2,0.14,Springfield,Massachusetts,1104,1399,7/9/2007,2007,July,1,225000
52332,for_sale,4,3,0.3,Enfield,Connecticut,6082,1804,7/9/2004,2004,July,0,299000
52333,for_sale,2,1,0.4,South Hadley,Massachusetts,1075,1034,2/28/1996,1996,February,0,224900
52336,for_sale,6,2,0.14,Springfield,Massachusetts,1108,2508,12/17/2009,2009,December,1,190000
52337,for_sale,3,2,3.2,Coventry,Connecticut,6238,1730,10/13/2021,2021,October,0,379900
52338,for_sale,2,1,0.28,Chicopee,Massachusetts,1013,1207,11/29/2011,2011,November,1,240000
52339,for_sale,2,1,0.38,East Longmeadow,Massachusetts,1028,988,4/28/2005,2005,April,0,279000
52341,for_sale,4,2,0.22,Enfield,Connecticut,6082,1536,10/17/2019,2019,October,0,245000
52342,for_sale,3,2,0.3,Holyoke,Massachusetts,1040,1880,2/15/2002,2002,February,1,365000
52343,for_sale,4,3,2.52,Wilbraham,Massachusetts,1095,2960,10/5/2005,2005,October,0,650000
52345,for_sale,4,3,0.12,Springfield,Massachusetts,1104,1360,3/31/2014,2014,March,1,284999
52346,for_sale,3,2,0.12,Northampton,Massachusetts,1060,1531,5/1/2009,2009,May,0,489900
52348,for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590,10/1/2003,2003,October,1,579900
52349,for_sale,4,2,0.3,South Hadley,Massachusetts,1075,2112,5/24/2001,2001,May,0,295000
52350,for_sale,3,2,0.14,Northampton,Massachusetts,1062,1728,5/30/2003,2003,May,0,499000
52351,for_sale,4,3,0.56,Amherst,Massachusetts,1002,2847,6/24/1992,1992,June,0,745000
52352,for_sale,6,2,0.23,Holyoke,Massachusetts,1040,2399,9/5/2017,2017,September,1,339000
52355,for_sale,1,1,0.31,Belchertown,Massachusetts,1007,640,8/3/2000,2000,August,0,215000
52356,for_sale,3,1,0.32,Springfield,Massachusetts,1119,1082,12/21/2016,2016,December,1,275000
52358,for_sale,4,4,0.62,Longmeadow,Massachusetts,1106,2712,4/19/2016,2016,April,0,699900
52363,for_sale,3,2,2.99,Otis,Massachusetts,1253,2372,10/6/1993,1993,October,0,400000
52406,for_sale,10,5,0.19,Pittsfield,Massachusetts,1201,4260,2/11/2002,2002,February,1,229000
52449,for_sale,3,2,1.76,Agawam,Massachusetts,1001,1968,9/19/2008,2008,September,1,199999
52491,for_sale,3,3,1.4,Buckland,Massachusetts,1339,2234,7/29/2005,2005,July,0,349900
52497,for_sale,5,4,2.06,Suffield,Connecticut,6078,3323,7/2/2018,2018,July,0,539000
52501,for_sale,4,8,12.1,Worthington,Massachusetts,1098,14240,10/5/2001,2001,October,0,2995000
52504,for_sale,7,4,0.4,Adams,Massachusetts,1220,2992,7/24/2007,2007,July,0,254900
52532,for_sale,3,1,0.31,Pittsfield,Massachusetts,1201,1892,6/7/2002,2002,June,1,124900
52538,for_sale,6,2,0.57,Hinsdale,Massachusetts,1235,2979,6/1/1993,1993,June,0,109900
52541,for_sale,4,2,0.68,Lee,Massachusetts,1238,1626,8/28/2009,2009,August,0,429900
52545,for_sale,3,2,16.11,Lenox,Massachusetts,1240,1858,7/13/2001,2001,July,0,799900
52552,for_sale,3,1,0.21,Pittsfield,Massachusetts,1201,1746,7/24/1987,1987,July,1,224900
52553,for_sale,4,1,0.24,Pittsfield,Massachusetts,1201,1350,1/31/1996,1996,January,1,179900
52556,for_sale,4,3,0.29,Pittsfield,Massachusetts,1201,2511,6/9/2008,2008,June,1,219900
52572,for_sale,3,2,0.25,Holyoke,Massachusetts,1040,1637,6/26/2002,2002,June,1,174900
52585,for_sale,5,2,0.13,Holyoke,Massachusetts,1040,1924,10/15/2001,2001,October,1,175000
52590,for_sale,2,1,0.22,Pittsfield,Massachusetts,1201,1175,6/30/1999,1999,June,1,169900
52592,for_sale,4,3,62,Plainfield,Massachusetts,1070,2650,2/10/2014,2014,February,1,649000
52596,for_sale,2,2,0.24,Pittsfield,Massachusetts,1201,1044,6/21/1991,1991,June,1,264999
52597,for_sale,3,2,0.22,Easthampton,Massachusetts,1027,2037,11/20/2008,2008,November,1,299900
52600,for_sale,4,4,9.3,Granville,Massachusetts,1034,3164,12/16/1997,1997,December,0,799000
52602,for_sale,4,4,1.56,Suffield,Connecticut,6078,3275,10/17/2002,2002,October,0,699900
52623,for_sale,3,1,0.69,Southampton,Massachusetts,1073,1200,7/10/2000,2000,July,0,300000
52625,for_sale,5,3,0.1,Pittsfield,Massachusetts,1201,2027,1/18/2008,2008,January,1,149900
52634,for_sale,4,1,0.3,Adams,Massachusetts,1220,1360,12/26/1990,1990,December,0,395000
52635,for_sale,8,2,0.22,Pittsfield,Massachusetts,1201,3278,1/29/1999,1999,January,1,289000
52636,for_sale,5,5,48,Stamford,Vermont,5352,5767,4/14/2006,2006,April,0,1075000
52640,for_sale,4,3,1.2,Suffield,Connecticut,6078,3590,5/30/2014,2014,May,0,749999
52644,for_sale,8,2,0.26,Pittsfield,Massachusetts,1201,2016,12/3/1987,1987,December,1,139900
52663,for_sale,3,2,0.95,North Adams,Massachusetts,1247,1200,5/28/2009,2009,May,1,179900
52665,for_sale,4,2,0.2,Pittsfield,Massachusetts,1201,1712,6/25/2009,2009,June,1,129900
